Date,Open,High,Low,Close,Adj Close,Volume,Date,Year,Month,Day
22-05-2019,9595.599609,9629.75,9555.799805,9598.200195,9598.1875,14715000,22-05-2019,2019,5,22
23-05-2019,9730,9835.700195,9521.599609,9552.75,9552.737305,20870200,23-05-2019,2019,5,23
24-05-2019,9618.75,9728.799805,9563.599609,9722.049805,9722.037109,16182500,24-05-2019,2019,5,24
27-05-2019,9732.650391,9820.950195,9702.5,9804.900391,9804.887695,14931900,27-05-2019,2019,5,27
28-05-2019,9834.950195,9834.950195,9768.299805,9815.5,9815.487305,20834700,28-05-2019,2019,5,28
29-05-2019,9802.400391,9812,9737.950195,9757.150391,9757.137695,12287400,29-05-2019,2019,5,29
30-05-2019,9762.799805,9827.25,9759.5,9815.299805,9815.287109,17000600,30-05-2019,2019,5,30
31-05-2019,9855.549805,9889.299805,9734.200195,9805.049805,9805.037109,17229000,31-05-2019,2019,5,31
03-06-2019,9827.75,9931.650391,9796.849609,9922.599609,9922.586914,11865200,03-06-2019,2019,6,3
04-06-2019,9898,9941.450195,9865.599609,9876.200195,9876.1875,12227000,04-06-2019,2019,6,4
06-06-2019,9889.549805,9889.549805,9712.049805,9722.5,9722.487305,15350100,06-06-2019,2019,6,6
07-06-2019,9736.049805,9761.75,9653.700195,9735.849609,9735.836914,13587300,07-06-2019,2019,6,7
10-06-2019,9784.450195,9813.650391,9727.900391,9765.849609,9765.836914,15015500,10-06-2019,2019,6,10
11-06-2019,9791.900391,9826.650391,9743.049805,9805.099609,9805.086914,14034000,11-06-2019,2019,6,11
12-06-2019,9801.950195,9802.049805,9727.75,9749.950195,9749.9375,11264200,12-06-2019,2019,6,12
13-06-2019,9727.150391,9758.900391,9668.049805,9747.049805,9747.037109,13648200,13-06-2019,2019,6,13
14-06-2019,9742.799805,9745.150391,9652.599609,9669.950195,9669.9375,12085700,14-06-2019,2019,6,14
17-06-2019,9681.900391,9681.950195,9533.349609,9543.599609,9543.586914,11683600,17-06-2019,2019,6,17
18-06-2019,9547.5,9587.049805,9514.099609,9551.349609,9551.336914,13950000,18-06-2019,2019,6,18
19-06-2019,9592.150391,9634.150391,9476.099609,9526.200195,9526.1875,17789400,19-06-2019,2019,6,19
20-06-2019,9501.549805,9655.25,9476.25,9646,9645.987305,18778100,20-06-2019,2019,6,20
21-06-2019,9641.150391,9641.25,9566.099609,9581.599609,9581.586914,17244900,21-06-2019,2019,6,21
24-06-2019,9585.950195,9605.049805,9543.400391,9564.099609,9564.086914,13036700,24-06-2019,2019,6,24
25-06-2019,9548.650391,9643.75,9525.950195,9632.849609,9632.836914,13944600,25-06-2019,2019,6,25
26-06-2019,9611.950195,9699.650391,9604.150391,9682.799805,9682.787109,16573200,26-06-2019,2019,6,26
27-06-2019,9694.549805,9733.950195,9675.5,9692.349609,9692.336914,20235100,27-06-2019,2019,6,27
28-06-2019,9707.450195,9713.75,9644.099609,9657.950195,9657.9375,12898700,28-06-2019,2019,6,28
01-07-2019,9697,9724.349609,9691.900391,9713,9712.987305,10776000,01-07-2019,2019,7,1
02-07-2019,9734.75,9750.049805,9675.799805,9744.849609,9744.836914,11967700,02-07-2019,2019,7,2
03-07-2019,9762.849609,9774.799805,9731.5,9757.299805,9757.287109,10657500,03-07-2019,2019,7,3
04-07-2019,9767.799805,9793.5,9765.200195,9776.799805,9776.787109,11471200,04-07-2019,2019,7,4
05-07-2019,9793.650391,9805.299805,9644.849609,9657.650391,9657.637695,13960900,05-07-2019,2019,7,5
08-07-2019,9619.400391,9620.900391,9418,9447.799805,9447.787109,12886200,08-07-2019,2019,7,8
09-07-2019,9428.049805,9473.400391,9375.799805,9455.650391,9455.637695,12144600,09-07-2019,2019,7,9
10-07-2019,9443.650391,9482.5,9385.700195,9400.099609,9400.086914,10260500,10-07-2019,2019,7,10
11-07-2019,9447.150391,9475.700195,9414.099609,9466.400391,9466.387695,10798500,11-07-2019,2019,7,11
12-07-2019,9480.049805,9519.75,9448.400391,9457.75,9457.737305,11902500,12-07-2019,2019,7,12
15-07-2019,9499.25,9502.700195,9427.849609,9469.150391,9469.137695,10338800,15-07-2019,2019,7,15
16-07-2019,9473.849609,9533.549805,9456.599609,9529.849609,9529.836914,11907200,16-07-2019,2019,7,16
17-07-2019,9535.25,9563.950195,9520.150391,9543.349609,9543.336914,12125500,17-07-2019,2019,7,17
18-07-2019,9534.150391,9534.5,9447.650391,9456.150391,9456.137695,12282600,18-07-2019,2019,7,18
